[x] https://www.marcus.com/var/log/exim/rejectlog Forbidden
[x] https://www.marcus.com/var/log/faillog Forbidden
[x] https://www.marcus.com/var/log/ftplog Forbidden
[x] https://www.marcus.com/var/log/ftp-proxy Forbidden
[x] https://www.marcus.com/var/log/ftp-proxy/ftp-proxy.log Forbidden
[x] https://www.marcus.com/var/log/httpd/access_log Forbidden
[x] https://www.marcus.com/var/log/httpd/access.log Forbidden
[x] https://www.marcus.com/var/log/httpd/error_log Forbidden
[x] https://www.marcus.com/var/log/httpd/error.log Forbidden
[x] https://www.marcus.com/var/log/httpsd/ssl.access_log Forbidden
[x] https://www.marcus.com/var/log/httpsd/ssl_log Forbidden
[x] https://www.marcus.com/var/log/kern.log Forbidden
[x] https://www.marcus.com/var/log/lighttpd/access.log Forbidden
[x] https://www.marcus.com/var/log/lastlog Forbidden
[x] https://www.marcus.com/var/log/lighttpd/error.log Forbidden
[x] https://www.marcus.com/var/log/lighttpd/lighttpd.access.log Forbidden
[x] https://www.marcus.com/var/log/lighttpd/lighttpd.error.log Forbidden
[x] https://www.marcus.com/var/log/mail.info Forbidden
[x] https://www.marcus.com/var/log/mail.log Forbidden
[x] https://www.marcus.com/var/log/maillog Forbidden
[x] https://www.marcus.com/var/log/mail.warn Forbidden
[x] https://www.marcus.com/var/log/message Forbidden
[x] https://www.marcus.com/var/log/mysqlderror.log Forbidden
[x] https://www.marcus.com/var/log/messages Forbidden
[x] https://www.marcus.com/var/log/mysql.log Forbidden
[x] https://www.marcus.com/var/log/mysql/mysql.log Forbidden
[x] https://www.marcus.com/var/log/mysql/mysql-bin.log Forbidden
[x] https://www.marcus.com/var/log/mysql/mysql-slow.log Forbidden
[x] https://www.marcus.com/var/log/proftpd Forbidden
[x] https://www.marcus.com/var/log/pureftpd.log Forbidden
[x] https://www.marcus.com/var/log/pure-ftpd/pure-ftpd.log Forbidden
[x] https://www.marcus.com/var/log/vsftpd.log Forbidden
[x] https://www.marcus.com/var/log/secure Forbidden
[x] https://www.marcus.com/var/log/wtmp Forbidden
[x] https://www.marcus.com/var/log/yum.log Forbidden
[x] https://www.marcus.com/var/log/xferlog Forbidden
[x] https://www.marcus.com/var/www/log/access_log Forbidden
[x] https://www.marcus.com/var/www/log/error_log Forbidden
[x] https://www.marcus.com/var/www/logs/access_log Forbidden
[x] https://www.marcus.com/var/www/logs/error_log Forbidden
[x] https://www.marcus.com/var/www/logs/access.log Forbidden
[x] https://www.marcus.com/var/www/logs/error.log Forbidden
[x] https://www.marcus.com/~/.bash_history Forbidden
[x] https://www.marcus.com/~/.bashrc Forbidden
[x] https://www.marcus.com/~/.mysql_history Forbidden
[x] https://www.marcus.com/~/.profile Forbidden
[x] https://www.marcus.com/~/.ssh/authorized_keys Forbidden
[x] https://www.marcus.com/~/.ssh/id_dsa Forbidden
[x] https://www.marcus.com/~/.ssh/id_rsa Forbidden
[x] https://www.marcus.com/~/.viminfo Forbidden
[x] https://www.marcus.com/Web.config Forbidden
[x] https://www.marcus.com/web.config.bak Forbidden
[x] https://www.marcus.com/web.config.bakup Forbidden
[x] https://www.marcus.com/web.config.old Forbidden
[x] https://www.marcus.com/web.config.temp Forbidden
[x] https://www.marcus.com/web.config.tmp Forbidden
[x] https://www.marcus.com/web.config.txt Forbidden
[x] https://www.marcus.com/web.config::$DATA Forbidden
[x] https://www.marcus.com/webdav/index.html Forbidden
[x] https://www.marcus.com/webdav/servlet/webdav/ Forbidden
[x] https://www.marcus.com/wp-config.php.bak Forbidden
[x] https://www.marcus.com/wp-config.old Forbidden
[x] https://www.marcus.com/wp-config.inc Forbidden
[x] https://www.marcus.com/wp-config.php.old Forbidden
[x] https://www.marcus.com/wp-config.php.swp Forbidden
[x] https://www.marcus.com/www-error.log Forbidden
[x] https://www.marcus.com/index.html.old Forbidden
[x] https://www.marcus.com/win.ini Forbidden
[x] https://www.marcus.com/pimages.bak Forbidden
[x] https://www.marcus.com/mime.php Forbidden
[x] https://www.marcus.com/manager.bak Forbidden
[x] https://www.marcus.com/button.php Forbidden
[x] https://www.marcus.com/fa.js Forbidden
[x] https://www.marcus.com/images.bak Forbidden
[x] https://www.marcus.com/go_back.tpl Forbidden
[x] https://www.marcus.com/css.js Forbidden
