[+] http://api.netflix.com/robots.txt
[x] http://api.netflix.com/_layouts/mobile/mbllists.aspx Forbidden
[x] http://api.netflix.com/_layouts/mcontent.aspx Forbidden
[x] http://api.netflix.com/_layouts/help.aspx Forbidden
[x] http://api.netflix.com/_layouts/groups.aspx Forbidden
[x] http://api.netflix.com/_layouts/bpcf.aspx Forbidden
[x] http://api.netflix.com/_layouts/aclinv.aspx Forbidden
[x] http://api.netflix.com/_vti_bin/dws.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/alerts.asmx?wsdl Forbidden
[x] http://api.netflix.com/_vti_bin/copy.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/Authentication.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/diagnostics.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/forms.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/imaging.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/lists.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/meetings.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/People.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/SiteData.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/permissions.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/sites.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/spsearch.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/UserGroup.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/views.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/WebPartPages.asmx Forbidden
[x] http://api.netflix.com/_vti_bin/webs.asmx Forbidden
[x] http://api.netflix.com/_layouts/AdminRecycleBin.aspx Forbidden
[x] http://api.netflix.com/_layouts/create.aspx Forbidden
[x] http://api.netflix.com/_layouts/listfeed.aspx Forbidden
[x] http://api.netflix.com/_layouts/managefeatures.aspx Forbidden
[x] http://api.netflix.com/_layouts/mngsiteadmin.aspx Forbidden
[x] http://api.netflix.com/_layouts/mngsubwebs.aspx Forbidden
[x] http://api.netflix.com/_layouts/newsbweb.aspx Forbidden
[x] http://api.netflix.com/_layouts/PageSettings.aspx Forbidden
[x] http://api.netflix.com/_layouts/policy.aspx Forbidden
[x] http://api.netflix.com/_layouts/policyconfig.aspx Forbidden
[x] http://api.netflix.com/_layouts/policycts.aspx Forbidden
[x] http://api.netflix.com/_layouts/Policylist.aspx Forbidden
[x] http://api.netflix.com/_layouts/settings.aspx Forbidden
[x] http://api.netflix.com/_layouts/storman.aspx Forbidden
